broker_name	remote_id	ticket_section	ticket_row	ticket_count	ticket_price	event_name	event_occurs_at
A-1 Tickets	116745852	136	6	3	165.00	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
A-1 Tickets	116745896	130	12	3	125.00	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
A-1 Tickets	116745908	119	2	4	325.00	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
AAA Tix	55914	149	1	4	239.00	NLDS: St. Louis Cardinals at Atlanta Braves (Game 5 - Home Game 3) (If Necessary)	2019-10-09
AAA Tix	55915	149	2	6	199.00	NLDS: St. Louis Cardinals at Atlanta Braves (Game 5 - Home Game 3) (If Necessary)	2019-10-09
AAA Tix	55934	144	14	6	159.00	NLDS: St. Louis Cardinals at Atlanta Braves (Game 5 - Home Game 3) (If Necessary)	2019-10-09
Aaron Lowinger Ticketing LLC	113566710	412	1	8	135.68	ALDS: Minnesota Twins at New York Yankees (Game 2 - Home Game 2)	2019-10-05
Aaron Lowinger Ticketing LLC	115470706	V	6	1	156.88	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470717	119	23	1	283.02	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470739	126	31	1	173.84	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470794	127	34	1	152.64	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470805	127	11	1	182.32	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470827	126	31	1	178.08	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470838	U	3	3	187.09	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470882	V	9	1	148.40	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470893	103	22	1	208.81	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470904	127	20	1	169.60	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470916	V	2	1	165.36	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470971	126	40	1	161.12	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115470993	124	32	1	198.21	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115471026	330	14	2	124.83	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115471059	334	11	3	122.97	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115471071	330	14	2	119.79	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115471988	U	2	4	215.18	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	117425707	120	22	3	260.63	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	117425708	333	9	3	126.15	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
Aaron Lowinger Ticketing LLC	115486312	136 DUGOUT BOX	B	4	227.90	NLDS: Atlanta Braves at St. Louis Cardinals (Game 4 - Home Game 2) (If Necessary)	2019-10-07
Aaron Lowinger Ticketing LLC	115486325	247	3	4	174.90	NLDS: Atlanta Braves at St. Louis Cardinals (Game 4 - Home Game 2) (If Necessary)	2019-10-07
Aaron Lowinger Ticketing LLC	115470696	302	14	2	82.68	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470707	V	6	1	100.70	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470718	119	23	1	152.66	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470740	126	31	1	113.42	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470751	103	15	2	138.86	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470784	302	12	1	74.20	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470795	127	34	1	97.52	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470806	127	11	1	119.78	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470828	126	31	1	116.60	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470839	U	3	3	132.50	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470850	334	16	3	82.68	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470872	321	14	1	80.56	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470883	V	9	1	94.34	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470894	103	22	1	132.50	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470905	127	20	1	110.24	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470917	V	2	1	107.06	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470928	327	10	1	77.38	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470961	301	9	1	71.02	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470972	126	40	1	103.88	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115470994	124	32	1	121.90	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115471016	321	14	4	94.34	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
